CRN,SUBJ,CRSE,TITLE,CR HRS,TIME,DAYS,INSTRUCTOR
23622,CS,121G,INTRO INFO LIT-SCI RECITATION,0,1000-1050AM,W,fac72
23624,CS,121G,INTRO INFO LIT-SCI RECITATION,0, 930-1020AM,T,fac73
23625,CS,121G,INTRO INFO LIT-SCI RECITATION,0, 900- 950AM,M,fac74
23626,CS,121G,INTRO INFO LIT-SCI RECITATION,0,1100-1150AM,M,fac75
23627,CS,121G,INTRO INFO LIT-SCI RECITATION,0, 545- 635PM,F,fac76
15892,CS,129,TCCK-PBLM SOLVING & PRGMNG I,4,HOURS ARR,,fac77
18918,CS,129,TNCC-INTRO TO COMPUTER SCIENCE,3,HOURS ARR,,fac78
20679,CS,129,TCCV-C++ PROGRAMMING I,4,HOURS ARR,,fac79
10253,CS,150,PROBLEM SOLVING & PRGMNG I,4, 300- 415PM,TR,fac80
10254,CS,150,PROBLEM SOLVING & PRGMNG I,4, 420- 535PM,TR,fac81
10255,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 710- 950PM,T,fac82
10256,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 900-1130AM,W,fac83
10257,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0,1200- 230PM,W,fac84
10258,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 300- 530PM,W,fac85
10259,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 710- 940PM,T,fac86
10260,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 930-1200PM,R,fac87
11351,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 710- 940PM,T,fac88
11390,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1000-1050AM,M,fac89
11391,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1100-1150AM,M,fac90
11392,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 100- 150PM,M,fac91
11393,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 810- 900PM,W,fac92
11394,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 930-1020AM,T,fac93
11395,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1100-1150AM,T,fac94
11396,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 810- 900PM,W,fac95
11397,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1230- 120PM,F,fac96
12052,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 130- 400PM,F,fac97
13184,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 800-1030AM,R,fac98
19317,CS,150,PROBLEM SOLVING & PRGMNG I,4,HOURS ARR,,fac99
19318,CS,150,PROBLEM SOLVING & PRGMNG I,4,HOURS ARR,,fac100
19319,CS,150,PROBLEM SOLVING & PRGMNG I,4,HOURS ARR,,fac101
19320,CS,150,PROBLEM SOLVING & PRGMNG I,4,HOURS ARR,,fac102
19322,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 420- 700PM,W,fac103
19324,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 420- 700PM,W,fac104
19325,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 420- 700PM,W,fac105
19326,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 420- 700PM,W,fac106
19327,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 710- 800PM,W,fac107
19329,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 710- 800PM,W,fac108
19330,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 710- 800PM,W,fac109
19331,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 710- 800PM,W,fac110
21487,CS,150,PROBLEM SOLVING & PRGMNG I,4,HOURS ARR,,fac111
21488,CS,150,PROBLEM SOLVING & PRGMNG I,4,HOURS ARR,,fac112
21489,CS,150,PROBLEM SOLVING & PRGMNG I,4,HOURS ARR,,fac113
21490,CS,150,PROBLEM SOLVING & PRGMNG I,4,HOURS ARR,,fac114
21491,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 210- 440PM,M,fac115
21492,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 210- 440PM,M,fac116
21493,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 210- 440PM,M,fac117
21496,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0,HOURS ARR,,fac118
21501,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1100-1150AM,M,fac119
21502,CS,150,PROBLEM SOLVING & PRGMNG I,0,1100-1150AM,M,fac120
21503,CS,150,PROBLEM SOLVING & PRGMNG I,0,1100-1150AM,M,fac121
21506,CS,150,PROBLEM SOLVING & PRGMNG I,0,1100-1150AM,M,fac122
22422,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 710- 950PM,M,fac123
22423,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 710- 950PM,M,fac124
22424,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 710- 950PM,M,fac125
22425,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 610- 700PM,T,fac126
22426,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 610- 700PM,T,fac127
22427,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 610- 700PM,T,fac128
23628,CS,150,PROBLEM SOLVING & PRGMNG I,4, 300- 415PM,TR,fac129
23632,CS,150,PROBLEM SOLVING & PRGMNG I,4, 420- 535PM,TR,fac130
23636,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 710- 950PM,T,fac131
23637,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 900-1130AM,W,fac132
23639,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0,1200- 230PM,W,fac133
23641,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 300- 530PM,W,fac134
