CRN,SUBJ,CRSE,TITLE,CR HRS,TIME,DAYS,INSTRUCTOR
13759,CS,121G,INTRO INFO LIT & RSCH REC (E),0, 545- 635PM,R,"ZEIL,S"
16740,CS,121G,INTRO INFO LIT & RSCH SCI (E),3,HOURS ARR,,"ZEIL,S"
16741,CS,121G,INTRO INFO LIT & RSCH REC (E),0, 545- 635PM,T,"ZEIL,S"
16742,CS,121G,INTRO INFO LIT & RSCH REC (E),0, 545- 635PM,R,"ZEIL,S"
16851,CS,121G,INTRO INFO LIT & RSCH SCI (C),3,HOURS ARR,,"ZEIL,S"
16852,CS,121G,INTRO INFO LIT & RSCH REC (C),0, 810- 900PM,T,"ZEIL,S"
16853,CS,121G,INTRO INFO LIT & RSCH REC (C),0, 810- 900PM,R,"ZEIL,S"
23619,CS,121G,INTRO INFO LIT & RSCH FOR SCI,3, 710- 825PM,MW,"ZEIL,S"
23621,CS,121G,INTRO INFO LIT-SCI RECITATION,0, 900- 950AM,W,"ZEIL,S"
23622,CS,121G,INTRO INFO LIT-SCI RECITATION,0,1000-1050AM,W,"ZEIL,S"
23624,CS,121G,INTRO INFO LIT-SCI RECITATION,0, 930-1020AM,T,"ZEIL,S"
23625,CS,121G,INTRO INFO LIT-SCI RECITATION,0, 900- 950AM,M,"ZEIL,S"
23626,CS,121G,INTRO INFO LIT-SCI RECITATION,0,1100-1150AM,M,"ZEIL,S"
23627,CS,121G,INTRO INFO LIT-SCI RECITATION,0, 545- 635PM,F,"ZEIL,S"
15892,CS,129,TCCK-PBLM SOLVING & PRGMNG I,4,HOURS ARR,,"ZEIL,S"
18918,CS,129,TNCC-INTRO TO COMPUTER SCIENCE,3,HOURS ARR,,"ZEIL,S"
20679,CS,129,TCCV-C++ PROGRAMMING I,4,HOURS ARR,,"ZEIL,S"
10253,CS,150,PROBLEM SOLVING & PRGMNG I,4, 300- 415PM,TR,"ZEIL,S"
10254,CS,150,PROBLEM SOLVING & PRGMNG I,4, 420- 535PM,TR,"ZEIL,S"
10255,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 710- 950PM,T,"ZEIL,S"
10256,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 900-1130AM,W,"ZEIL,S"
10257,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0,1200- 230PM,W,"ZEIL,S"
10258,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 300- 530PM,W,"ZEIL,S"
10259,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 710- 940PM,T,"ZEIL,S"
10260,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 930-1200PM,R,"ZEIL,S"
11351,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 710- 940PM,T,"ZEIL,S"
11390,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1000-1050AM,M,"ZEIL,S"
11391,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1100-1150AM,M,"ZEIL,S"
11392,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 100- 150PM,M,"ZEIL,S"
11393,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 810- 900PM,W,"ZEIL,S"
11394,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 930-1020AM,T,"ZEIL,S"
11395,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1100-1150AM,T,"ZEIL,S"
11396,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 810- 900PM,W,"ZEIL,S"
11397,CS,150,PROBLEM SOLVING & PRGMNG I REC,0,1230- 120PM,F,"ZEIL,S"
12052,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 130- 400PM,F,"ZEIL,S"
13184,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 800-1030AM,R,"ZEIL,S"
19317,CS,150,PROBLEM SOLVING & PRGMNG I,4,HOURS ARR,,"ZEIL,S"
19318,CS,150,PROBLEM SOLVING & PRGMNG I,4,HOURS ARR,,"ZEIL,S"
19319,CS,150,PROBLEM SOLVING & PRGMNG I,4,HOURS ARR,,"ZEIL,S"
19320,CS,150,PROBLEM SOLVING & PRGMNG I,4,HOURS ARR,,"ZEIL,S"
19322,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 420- 700PM,W,"ZEIL,S"
19324,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 420- 700PM,W,"ZEIL,S"
19325,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 420- 700PM,W,"ZEIL,S"
19326,CS,150,PROBLEM SOLVING & PRGMNG I LAB,0, 420- 700PM,W,"ZEIL,S"
19327,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 710- 800PM,W,"ZEIL,S"
19329,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 710- 800PM,W,"ZEIL,S"
19330,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 710- 800PM,W,"ZEIL,S"
19331,CS,150,PROBLEM SOLVING & PRGMNG I REC,0, 710- 800PM,W,"ZEIL,S"
21487,CS,150,PROBLEM SOLVING & PRGMNG I,4,HOURS ARR,,"ZEIL,S"
21488,CS,150,PROBLEM SOLVING & PRGMNG I,4,HOURS ARR,,"ZEIL,S"
21489,CS,150,PROBLEM SOLVING & PRGMNG I,4,HOURS ARR,,"ZEIL,S"
21490,CS,150,PROBLEM SOLVING & PRGMNG I,4,HOURS ARR,,"ZEIL,S"
